,Obtained,Skill,Fragment,Tank,Healer,Melee,Ranged,Caster,Basic Spell Effect,"Cast, Recast, Available",Full Spell Effect
,,Offensive,,,,,,,,,
,TRUE,Lost Focus,Violence,TRUE,TRUE,TRUE,TRUE,TRUE,Stacking damage boost on next weaponskill.,Instant | 2.5s | 32 uses,"Grants a stack of Boost, up to a maximum of 16. Boost Bonus: Increases potency of next weaponskill by 15% per stack Duration: 30s Effect ends upon using another lost action. Shares a recast timer with all other weaponskills and spells."
,TRUE,Lost Font of Magic,Sagacity,FALSE,TRUE,FALSE,FALSE,FALSE,"Damage +70%, drains MP, 30s
Sot Veteran: -50% Magic Damage Taken, 15s",Instant | 120s | 10 uses,"Increases damage dealt by 70%, draining MP while in use. Duration: 30s
Spirit of the Veteran Effect: Grants Spell Shield to self
Spell Shield Effect: Reduces magic damage taken by 50%
Duration: 15s
Can only be executed while in combat."
,TRUE,Lost Font of Power,Sagacity,TRUE,FALSE,TRUE,TRUE,FALSE,"Damage +30%, Crit +40%, 30s
Sot Irregular: Damage +40%
Sot Platebearer: -50% Physical Damage Taken, 15s
",Instant | 120s | 10 uses,Increases damage dealt by 30% and critical hit rate by 40%. Duration: 30s Spirit of the Irregular Effect: Damage bonus effect is increased to 40% Spirit of the Platebearer Effect: Grants Solid Shield to self Solid Shield Effect: Reduces physical damage taken by 50% Duration: 15s Can only be executed while in combat.
,TRUE,Lost Slash,Violence,TRUE,FALSE,TRUE,TRUE,FALSE,"800 Potency AOE cone
Crit Potency Tripled",Instant | 90s | 10 uses,"Delivers an attack with a potency of 800 to all enemies in a cone before you. When critical damage is dealt, potency is tripled. This action does not share a recast timer with any other actions. Furthermore, the recast timer cannot be affected by other actions."
,TRUE,Lost Death,Violence,TRUE,TRUE,TRUE,TRUE,TRUE,"KOs target, less health greater success
Sot Ordained: Greater chance of success",5s | 60s | 10 uses,"KOs target. The less the target's HP, the greater the chance of success. Spirit of the Ordained Effect: Chance of success is increased This action does not share a recast timer with any other actions. Furthermore, the recast timer cannot be affected by other actions."
,TRUE,Banner of Noble Ends,Resolve,TRUE,TRUE,TRUE,TRUE,TRUE,"Damage +50%, reduces HP recovery to self by 100%, 15s",Instant | 90s | 10 uses,"Storm the field under the Banner of Noble Ends, increasing damage dealt by 50% while reducing own HP recovery via most healing actions by 100%. Duration: 15s Can only be executed while in combat. Effect cannot be stacked with other Banner actions."
,TRUE,Banner of Honored Sacrifice,Resolve,TRUE,TRUE,TRUE,TRUE,TRUE,"Damage +55%, drains HP, 15s
PEot Duelist: Buffed, Less HP drain",Instant | 90s | 10 uses,"Storm the field under the Banner of Honored Sacrifice, increasing damage dealt by 55% while draining your HP. Duration: 15s Can only be executed while in combat. Effect cannot be stacked with other Banner actions."
,TRUE,Bannner of Honed Acuity,Resolve,TRUE,TRUE,TRUE,TRUE,TRUE,"Stacking buff from dodging attacks, take 10% more damage per stack, up to 3 stacks
3 stacks: Crit +30%, Haste +20%, 180s",Instant | 180s | 10 uses,"Storm the field under the Banner of Honed Acuity, gaining additional stacks each time an attack is evaded, up to a maximum of 3. Banner of Honed Acuity Effect: Increases damage taken by 10% per stack Duration: 120s At maximum stacks, take up the Banner of Transcendent Finesse. Banner of Transcendent Finesse Effect: Increases critical hit rate by 30% and reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 20% Duration: 180s Can only be executed while in combat. Effect cannot be stacked with other Banner actions."
,TRUE,Lost Fair Trade,Caprice,TRUE,TRUE,TRUE,TRUE,TRUE,"Throws random lost actions.
Potency 50 - 1000 based on weight.",Instant | 4s | 99 uses,"Through sheer force of will, restore a random technique of the lost to physical form and throw it at a single target, dealing damage with a potency of 50. Potency increases up to 1,000 based on the weight of the lost action. The lost action thrown will be lost upon execution. This action does not share a recast timer with any other actions. Furthermore, the recast timer cannot be affected by other actions."
